Date,Div,Time,HomeTeam,AwayTeam,FTR,Season,Last5HomeOver2.5Perc,Last5AwayOver2.5Count,Last5AwayOver2.5Perc,Last5HomeOver2.5Count,AvgLast5HomeGoalsScored,AwayOver2.5Perc,HomeOver2.5Perc,AvgLast5AwayGoalsScored,AvgLast5AwayGoalsConceded,AvgLast5HomeGoalsConceded,MaxC>2.5,B365CAHH,AvgHomeGoalsScored,AvgAwayGoalsScored,AvgAHH,Over2.5
2022-08-13,D1,14:30,Leverkusen,Augsburg,A,2022/2023,100.0,1.0,100.0,1.0,1.0,70.59,70.59,2.0,1.0,2.0,1.45,2.04,2.06,1.53,1.88,1
2022-08-27,D1,14:30,Hoffenheim,Augsburg,H,2022/2023,50.0,1.0,50.0,1.0,2.0,70.59,70.59,1.0,1.0,1.0,1.47,1.85,1.65,1.53,1.97,0
2022-09-09,D1,19:30,Werder Bremen,Augsburg,A,2022/2023,66.67,1.0,33.33,2.0,1.67,70.59,70.59,1.0,0.67,2.33,1.61,2.02,1.53,1.53,1.87,0
2022-10-02,D1,16:30,Schalke 04,Augsburg,A,2022/2023,100.0,2.0,50.0,4.0,2.0,70.59,70.59,1.5,1.0,3.0,1.85,1.88,1.35,1.53,1.97,1
2022-10-16,D1,14:30,FC Koln,Augsburg,H,2022/2023,60.0,3.0,60.0,3.0,1.8,70.59,47.06,1.6,1.4,1.2,1.66,2.0,1.65,1.53,1.86,1
2022-10-29,D1,14:30,Stuttgart,Augsburg,H,2022/2023,60.0,3.0,60.0,3.0,1.6,70.59,47.06,1.4,1.6,1.4,1.61,1.89,1.35,1.53,2.03,1
2022-11-09,D1,19:30,Union Berlin,Augsburg,D,2022/2023,40.0,4.0,80.0,2.0,1.8,70.59,47.06,1.8,1.8,0.8,2.14,2.0,1.76,1.53,1.94,1
2023-01-22,D1,14:30,Dortmund,Augsburg,H,2022/2023,80.0,5.0,100.0,4.0,3.0,70.59,82.35,2.2,2.6,1.0,1.43,1.9,3.24,1.53,1.85,1
2023-01-28,D1,14:30,Freiburg,Augsburg,H,2022/2023,40.0,5.0,100.0,2.0,2.4,70.59,41.18,1.8,2.8,0.6,1.92,1.86,1.65,1.53,1.84,1
2023-02-11,D1,14:30,Mainz,Augsburg,H,2022/2023,80.0,5.0,100.0,4.0,2.0,70.59,64.71,1.6,2.8,1.8,1.78,2.08,1.82,1.53,1.82,1
2023-02-25,D1,14:30,Hertha,Augsburg,H,2022/2023,40.0,4.0,80.0,2.0,1.6,70.59,47.06,1.4,2.8,1.6,1.96,1.84,1.41,1.53,1.86,0
2023-03-11,D1,14:30,Bayern Munich,Augsburg,H,2022/2023,60.0,4.0,80.0,3.0,2.6,70.59,64.71,1.6,3.4,1.0,1.22,1.87,3.12,1.53,1.89,1
2023-04-01,D1,14:30,Wolfsburg,Augsburg,D,2022/2023,80.0,4.0,80.0,4.0,1.4,70.59,76.47,1.4,3.0,2.4,1.72,2.0,2.0,1.53,2.05,1
2023-04-15,D1,14:30,RB Leipzig,Augsburg,H,2022/2023,100.0,4.0,80.0,5.0,1.8,70.59,76.47,1.6,3.0,1.6,1.53,2.01,2.24,1.53,1.88,1
2023-04-29,D1,14:30,Ein Frankfurt,Augsburg,D,2022/2023,0.0,3.0,60.0,0.0,1.2,70.59,52.94,1.6,2.6,0.8,1.66,2.0,2.06,1.53,1.9,0
2023-05-13,D1,14:30,Bochum,Augsburg,H,2022/2023,60.0,4.0,80.0,3.0,1.6,70.59,64.71,2.0,2.8,2.2,1.82,1.99,1.65,1.53,1.86,1
2023-05-27,D1,14:30,M'gladbach,Augsburg,H,2022/2023,20.0,3.0,60.0,1.0,1.6,70.59,52.94,1.4,2.2,0.6,1.49,2.01,1.94,1.53,1.9,0
