Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5AwayOver2.5Perc,B365CAHH,Last5HomeOver2.5Perc,HST,AST,HomeOver2.5Perc,AwayOver2.5Perc,AvgLast5AwayGoalsScored,AvgLast5HomeGoalsScored,AvgLast5AwayGoalsConceded,AvgLast5HomeGoalsConceded,MaxC<2.5,MaxC>2.5,AvgAwayGoalsConceded,AvgHomeGoalsScored,Over2.5
2022-08-05,F1,20:00,Lyon,Ajaccio,H,H,2022/2023,100.0,2.08,100.0,6,4,57.89,68.42,1.0,2.0,2.0,1.0,2.47,1.72,2.32,1.84,1
2022-08-21,F1,16:05,Rennes,Ajaccio,H,H,2022/2023,100.0,1.88,50.0,7,3,68.42,68.42,1.0,1.0,2.0,1.0,1.87,2.11,2.32,2.26,1
2022-08-31,F1,18:00,Montpellier,Ajaccio,H,H,2022/2023,66.67,1.95,66.67,4,0,68.42,68.42,0.67,2.0,2.0,1.33,1.7,2.42,2.32,1.53,0
2022-09-18,F1,14:00,Brest,Ajaccio,A,D,2022/2023,50.0,1.73,25.0,4,4,52.63,68.42,0.75,0.5,1.5,2.5,1.62,2.6,2.32,1.26,0
2022-10-08,F1,16:00,Marseille,Ajaccio,A,D,2022/2023,60.0,1.97,60.0,2,1,68.42,68.42,1.0,1.4,1.4,1.0,1.83,2.17,2.32,1.84,1
2022-10-16,F1,14:00,Troyes,Ajaccio,D,D,2022/2023,40.0,1.94,60.0,2,7,42.11,68.42,1.0,1.4,1.2,1.6,1.65,2.47,2.32,1.0,0
2022-10-30,F1,12:00,Auxerre,Ajaccio,H,H,2022/2023,20.0,1.91,20.0,5,1,42.11,68.42,0.8,0.8,1.0,1.4,1.63,2.5,2.32,0.95,0
2022-11-13,F1,14:00,Nantes,Ajaccio,D,D,2022/2023,40.0,1.85,60.0,5,4,47.37,68.42,1.2,1.4,1.0,1.4,1.65,2.45,2.32,1.05,1
2023-01-01,F1,14:00,Toulouse,Ajaccio,H,D,2022/2023,40.0,1.83,60.0,4,0,47.37,68.42,1.0,2.2,1.4,1.6,1.9,2.08,2.32,1.42,0
2023-01-15,F1,16:05,Monaco,Ajaccio,H,H,2022/2023,40.0,1.92,40.0,8,2,68.42,68.42,0.8,2.6,2.6,1.0,2.1,1.96,2.32,1.95,1
2023-02-01,F1,18:00,Angers,Ajaccio,A,H,2022/2023,60.0,2.01,100.0,2,4,73.68,68.42,1.0,1.0,2.6,2.0,1.6,2.66,2.32,1.05,1
2023-02-10,F1,20:00,Nice,Ajaccio,H,H,2022/2023,80.0,1.85,40.0,3,3,36.84,68.42,1.0,2.2,3.0,0.2,1.63,2.6,2.32,1.26,1
2023-02-19,F1,14:00,Lorient,Ajaccio,H,H,2022/2023,80.0,2.06,60.0,6,3,63.16,68.42,0.6,1.4,3.2,1.0,1.62,2.57,2.32,1.37,1
2023-03-05,F1,14:00,Reims,Ajaccio,H,D,2022/2023,80.0,1.92,60.0,3,1,52.63,68.42,0.6,2.4,3.0,0.4,1.89,2.13,2.32,1.47,0
2023-04-02,F1,14:00,Clermont,Ajaccio,H,A,2022/2023,80.0,2.09,40.0,6,2,47.37,68.42,0.6,0.6,2.0,2.0,1.52,3.0,2.32,1.05,1
2023-04-16,F1,14:00,Strasbourg,Ajaccio,H,H,2022/2023,80.0,1.96,40.0,6,1,52.63,68.42,0.4,1.8,2.4,0.6,1.57,2.7,2.32,1.32,1
2023-04-29,F1,16:00,Lille,Ajaccio,H,H,2022/2023,80.0,2.05,100.0,5,0,68.42,68.42,0.4,2.6,2.4,1.2,2.22,1.85,2.32,2.11,1
2023-05-13,F1,20:00,Paris SG,Ajaccio,H,H,2022/2023,80.0,1.92,60.0,9,2,63.16,68.42,0.4,1.8,2.8,1.4,3.2,1.46,2.32,2.37,1
2023-05-27,F1,20:00,Lens,Ajaccio,H,H,2022/2023,100.0,1.95,100.0,3,0,68.42,68.42,0.4,2.4,3.2,0.6,2.55,1.65,2.32,2.16,1
2022-08-14,F1,14:00,Auxerre,Angers,D,H,2022/2023,100.0,2.06,100.0,4,2,42.11,63.16,2.0,2.0,2.0,2.0,1.9,2.14,2.37,0.95,1
2022-08-28,F1,14:00,Troyes,Angers,H,H,2022/2023,100.0,1.93,100.0,11,3,42.11,63.16,1.5,1.5,2.5,2.0,1.81,2.17,2.37,1.0,1
2022-09-03,F1,18:00,Lyon,Angers,H,H,2022/2023,100.0,1.77,100.0,9,3,57.89,63.16,1.0,3.25,3.33,0.75,3.07,1.44,2.37,1.84,1
