Date,Div,Time,HomeTeam,AwayTeam,FTR,HTR,Season,Last5AwayOver2.5Perc,Last5HomeOver2.5Perc,AST,HST,AvgLast5HomeGoalsScored,AwayOver2.5Perc,HomeOver2.5Perc,AvgLast5AwayGoalsConceded,AvgLast5AwayGoalsScored,AvgLast5HomeGoalsConceded,MaxC>2.5,AvgHomeGoalsScored,AvgC<2.5,Over2.5
2023-08-14,SP1,18:30,Cadiz,Alaves,H,H,2023/2024,0.0,0.0,2,3,1.0,31.58,26.32,1.0,0.0,0.0,3.1,0.84,1.41,0
2023-08-28,SP1,18:30,Getafe,Alaves,H,D,2023/2024,0.0,0.0,2,4,0.5,31.58,31.58,1.0,0.0,0.0,4.1,1.05,1.27,0
2023-09-15,SP1,20:00,Vallecano,Alaves,H,H,2023/2024,0.0,50.0,1,11,1.0,31.58,36.84,1.33,0.0,3.5,2.75,0.95,1.5,0
2023-09-28,SP1,18:00,Celta,Alaves,D,H,2023/2024,0.0,0.0,11,0,0.25,31.58,42.11,1.25,0.25,1.25,2.35,1.11,1.67,0
2023-10-22,SP1,17:30,Villarreal,Alaves,D,D,2023/2024,0.0,80.0,7,3,1.6,31.58,73.68,1.2,0.4,2.0,2.14,1.89,1.78,0
2023-10-29,SP1,20:00,Ath Madrid,Alaves,H,H,2023/2024,20.0,100.0,1,7,2.6,31.58,78.95,1.4,0.6,1.2,2.01,2.21,1.9,1
2023-11-12,SP1,15:15,Barcelona,Alaves,H,A,2023/2024,40.0,60.0,1,6,1.6,31.58,57.89,1.6,0.8,1.0,1.66,2.26,2.34,1
2023-12-03,SP1,13:00,Mallorca,Alaves,D,D,2023/2024,40.0,20.0,4,3,0.8,31.58,26.32,1.2,0.8,0.8,3.04,0.89,1.42,0
2023-12-18,SP1,20:00,Girona,Alaves,H,H,2023/2024,60.0,60.0,2,4,2.4,31.58,68.42,1.6,0.6,0.8,1.84,2.79,2.08,1
2024-01-02,SP1,18:15,Sociedad,Alaves,D,D,2023/2024,60.0,20.0,2,6,0.8,31.58,31.58,1.6,0.6,0.6,2.44,1.37,1.63,0
2024-01-12,SP1,20:00,Sevilla,Alaves,A,A,2023/2024,60.0,40.0,8,4,0.8,31.58,57.89,1.6,1.0,2.0,2.5,1.42,1.59,1
2024-01-26,SP1,20:00,Almeria,Alaves,A,A,2023/2024,60.0,40.0,3,7,0.2,31.58,68.42,1.2,1.4,1.2,2.47,1.16,1.6,1
2024-02-18,SP1,20:00,Betis,Alaves,D,D,2023/2024,60.0,20.0,4,2,1.0,31.58,36.84,1.2,1.4,1.2,2.61,1.42,1.56,0
2024-03-04,SP1,20:00,Osasuna,Alaves,H,D,2023/2024,40.0,40.0,4,4,1.4,31.58,26.32,0.8,1.4,1.0,2.8,1.0,1.48,0
2024-03-16,SP1,20:00,Ath Bilbao,Alaves,H,H,2023/2024,40.0,60.0,3,4,2.2,31.58,57.89,1.0,1.2,0.6,2.4,2.21,1.64,0
2024-04-14,SP1,15:15,Granada,Alaves,H,H,2023/2024,20.0,20.0,3,3,1.2,31.58,47.37,1.0,0.6,1.2,2.5,1.26,1.59,0
2024-05-05,SP1,17:30,Valencia,Alaves,A,D,2023/2024,0.0,40.0,4,1,0.8,31.58,36.84,1.0,0.2,1.0,2.66,1.05,1.52,0
2024-05-14,SP1,20:30,Real Madrid,Alaves,H,H,2023/2024,20.0,80.0,10,11,3.4,31.58,57.89,2.0,0.2,0.4,1.5,2.53,2.73,1
2024-05-26,SP1,15:15,Las Palmas,Alaves,D,D,2023/2024,20.0,20.0,4,4,0.6,31.58,31.58,2.0,0.4,1.6,1.99,1.05,1.96,0
2024-08-16,SP1,18:00,Celta,Alaves,H,A,2024/2025,100.0,100.0,2,4,2.0,57.89,57.89,2.0,1.0,1.0,2.4,1.68,1.63,1
2024-08-28,SP1,20:30,Sociedad,Alaves,A,D,2024/2025,100.0,100.0,5,1,1.0,57.89,42.11,1.5,1.5,2.0,2.4,1.05,1.64,1
2024-09-14,SP1,15:15,Espanol,Alaves,H,D,2024/2025,100.0,66.67,6,4,1.67,57.89,36.84,2.0,1.67,1.33,2.75,1.21,1.5,1
2024-09-24,SP1,20:00,Real Madrid,Alaves,H,H,2024/2025,100.0,75.0,3,4,3.0,57.89,63.16,2.25,1.75,0.75,1.51,2.37,2.71,1
2024-09-28,SP1,13:00,Getafe,Alaves,H,H,2024/2025,80.0,0.0,1,8,0.75,57.89,26.32,2.2,1.4,0.25,3.64,0.79,1.33,0
2024-10-26,SP1,15:15,Vallecano,Alaves,H,D,2024/2025,60.0,40.0,7,4,1.4,57.89,52.63,2.0,1.2,1.0,2.76,1.26,1.5,0
2024-11-09,SP1,15:15,Villarreal,Alaves,H,H,2024/2025,60.0,80.0,3,3,2.4,57.89,73.68,2.4,0.8,2.0,1.83,2.26,2.05,1
2024-11-23,SP1,15:15,Ath Madrid,Alaves,H,A,2024/2025,60.0,60.0,1,8,2.2,57.89,52.63,2.2,0.6,0.6,2.16,2.21,1.76,1
2024-12-08,SP1,17:30,Osasuna,Alaves,D,A,2024/2025,60.0,80.0,3,8,2.0,57.89,57.89,2.0,0.6,1.6,2.69,1.74,1.51,1
2024-12-22,SP1,13:00,Valencia,Alaves,D,A,2024/2025,80.0,60.0,3,3,1.6,57.89,47.37,2.0,1.0,1.6,2.55,1.37,1.56,1
2025-01-18,SP1,17:30,Betis,Alaves,A,D,2024/2025,100.0,60.0,5,2,1.4,57.89,57.89,2.0,1.6,1.6,2.35,1.68,1.69,1
2025-02-02,SP1,13:00,Barcelona,Alaves,H,D,2024/2025,80.0,60.0,0,4,2.0,57.89,68.42,1.6,1.6,1.2,1.32,2.74,3.71,0
2025-02-15,SP1,13:00,Leganes,Alaves,D,H,2024/2025,80.0,60.0,7,3,1.2,57.89,47.37,1.8,2.0,2.4,3.22,1.21,1.42,1
2025-03-02,SP1,17:30,Mallorca,Alaves,D,H,2024/2025,60.0,40.0,7,4,1.4,57.89,47.37,1.6,1.8,1.0,3.14,1.05,1.4,0
2025-03-14,SP1,20:00,Las Palmas,Alaves,D,A,2024/2025,60.0,60.0,3,7,1.0,57.89,47.37,1.6,1.8,1.8,2.57,1.11,1.55,1
2025-04-05,SP1,13:00,Girona,Alaves,A,D,2024/2025,40.0,60.0,3,6,1.2,57.89,68.42,1.4,1.4,1.4,2.35,1.42,1.67,0
2025-04-20,SP1,17:30,Sevilla,Alaves,D,D,2024/2025,40.0,40.0,3,2,0.8,57.89,26.32,1.4,1.6,1.8,2.82,0.89,1.49,0
2025-05-11,SP1,17:30,Ath Bilbao,Alaves,H,D,2024/2025,20.0,20.0,1,3,1.2,57.89,36.84,1.0,1.0,0.4,3.24,1.68,1.36,0
2025-05-18,SP1,18:00,Valladolid,Alaves,A,A,2024/2025,20.0,60.0,4,1,0.6,57.89,47.37,0.8,1.0,2.2,2.24,0.58,1.73,0
2022-08-22,SP1,19:00,Elche,Almeria,D,D,2022/2023,0.0,0.0,7,3,1.0,63.16,36.84,1.0,1.0,1.0,2.35,0.95,1.69,0
2022-09-05,SP1,20:00,Valladolid,Almeria,H,D,2022/2023,0.0,50.0,1,6,0.5,63.16,47.37,1.0,0.5,1.5,2.04,1.11,1.87,0
2022-09-17,SP1,13:00,Mallorca,Almeria,H,H,2022/2023,0.0,33.33,3,2,1.0,63.16,21.05,1.0,0.33,1.0,2.36,1.16,1.65,0
